com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:18,647 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:52) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:19,070 com.hrm.common.BaseTest.initBrowser(BaseTest.java:72) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:19,080 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:39,854 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:39,931 com.hrm.common.BaseTest.preCondition(BaseTest.java:109) implicit login 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:47,182 com.hrm.scripts.ImplicitLoginScenario.testLoginScenario(ImplicitLoginScenario.java:10) This is from ImplicitLoginScenario 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 21:53:47,188 com.hrm.common.BaseTest.postCondition(BaseTest.java:125) implicit logout 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:25:46,353 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:52) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:25:46,827 com.hrm.common.BaseTest.initBrowser(BaseTest.java:72) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:25:46,857 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:13,590 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:13,652 com.hrm.common.BaseTest.preCondition(BaseTest.java:109) implicit login 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:18,483 com.hrm.scripts.ImplicitLoginScenario.testLoginScenario(ImplicitLoginScenario.java:10) This is from ImplicitLoginScenario 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:18,485 com.hrm.common.BaseTest.postCondition(BaseTest.java:125) implicit logout 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:23,584 com.hrm.common.BaseTest.closeBrowser(BaseTest.java:79) Execution completed on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:26:23,865 com.hrm.common.BaseTest.closeFrameWork(BaseTest.java:65) finalizing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:36,349 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:52) initializing ExtentReport 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:36,830 com.hrm.common.BaseTest.initBrowser(BaseTest.java:72) Execution started on Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:36,838 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:59,026 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:59,098 com.hrm.common.BaseTest.preCondition(BaseTest.java:117) explicit login required 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:59,114 com.hrm.scripts.ImplicitLoginScenario.testLoginScenario(ImplicitLoginScenario.java:10) This is from ImplicitLoginScenario 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:29:59,119 com.hrm.common.BaseTest.postCondition(BaseTest.java:132) explicit logout required 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:30:00,332 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:31:21,863 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:31:21,934 com.hrm.common.BaseTest.preCondition(BaseTest.java:109) implicit login 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:31:28,857 com.hrm.scripts.ExplicitLoginScenario.testLoginScenario(ExplicitLoginScenario.java:14) This is from ExplicitLoginScenario 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:31:28,861 com.hrm.common.BaseTest.postCondition(BaseTest.java:125) implicit logout 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:33:58,567 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:52) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:33:58,897 com.hrm.common.BaseTest.initBrowser(BaseTest.java:72) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:33:58,905 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:18,954 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:19,044 com.hrm.common.BaseTest.preCondition(BaseTest.java:117) explicit login required 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:19,060 com.hrm.scripts.ExplicitLoginScenario.testLoginScenario(ExplicitLoginScenario.java:14) This is from ExplicitLoginScenario 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:19,067 com.hrm.common.BaseTest.postCondition(BaseTest.java:132) explicit logout required 
com.hrm.scripts.ImplicitLoginScenario 2017-01-16 22:34:20,175 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
